,x,y,angle,dist,drift,xp,yp,x_drift,y_drift
0,515,196,0.0,0.0,0.0,0,0,0.0,0.0
1,523,190,-36.8698976458,10.0,0.0,0,0,0.0,0.0
2,526,179,-74.7448812969,11.401754251,7.07106781187,531,184,5.0,5.0
3,525,175,-104.036243468,4.12310562562,8.0622577483,529,168,4.0,-7.0
4,526,170,-78.690067526,5.09901951359,2.2360679775,524,171,-2.0,1.0
5,526,168,-90.0,2.0,3.16227766017,527,165,1.0,-3.0
6,527,161,-81.8698976458,7.07106781187,5.09901951359,526,166,-1.0,5.0
7,525,157,-116.565051177,4.472135955,4.24264068712,528,154,3.0,-3.0
8,534,145,-53.1301023542,15.0,13.6014705087,523,153,-11.0,8.0
9,540,142,-26.5650511771,6.7082039325,9.48683298051,543,133,3.0,-9.0
10,541,139,-71.5650511771,3.16227766017,5.0,546,139,5.0,0.0
11,554,131,-31.6075022462,15.2643375225,13.0,542,136,-12.0,5.0
12,547,118,-118.300755766,14.7648230602,20.6155281281,567,123,20.0,5.0
13,546,115,-108.434948823,3.16227766017,11.6619037897,540,105,-6.0,-10.0
14,543,110,-120.963756532,5.83095189485,2.82842712475,545,112,2.0,2.0
15,540,107,-135.0,4.24264068712,2.0,540,105,0.0,-2.0
16,537,100,-113.198590514,7.61577310586,4.0,537,104,0.0,4.0
17,534,98,-146.309932474,3.60555127546,5.0,534,93,0.0,-5.0
18,528,90,-126.869897646,10.0,6.7082039325,531,96,3.0,6.0
19,527,86,-104.036243468,4.12310562562,6.40312423743,522,82,-5.0,-4.0
20,521,78,-126.869897646,10.0,6.40312423743,526,82,5.0,4.0
21,519,73,-111.801409486,5.38516480713,5.0,515,70,-4.0,-3.0
22,511,67,-143.130102354,10.0,6.0827625303,517,68,6.0,1.0
23,507,63,-135.0,5.65685424949,4.472135955,503,61,-4.0,-2.0
24,502,58,-135.0,7.07106781187,1.41421356237,503,59,1.0,1.0
25,492,53,-153.434948823,11.1803398875,5.0,497,53,5.0,0.0
26,489,51,-146.309932474,3.60555127546,7.61577310586,482,48,-7.0,-3.0
27,486,49,-146.309932474,3.60555127546,0.0,486,49,0.0,0.0
28,477,47,-167.471192291,9.21954445729,6.0,483,47,6.0,0.0
29,469,44,-159.44395478,8.54400374532,1.41421356237,468,45,-1.0,1.0
30,463,43,-170.537677792,6.0827625303,2.82842712475,461,41,-2.0,-2.0
31,459,43,180.0,4.0,2.2360679775,457,42,-2.0,-1.0
32,453,42,-170.537677792,6.0827625303,2.2360679775,455,43,2.0,1.0
33,441,42,180.0,12.0,6.0827625303,447,41,6.0,-1.0
34,435,43,170.537677792,6.0827625303,6.0827625303,429,42,-6.0,-1.0
35,430,44,168.690067526,5.09901951359,1.0,429,44,-1.0,0.0
36,419,45,174.805571092,11.0453610172,6.0,425,45,6.0,0.0
37,413,46,170.537677792,6.0827625303,5.0,408,46,-5.0,0.0
38,404,50,156.037511025,9.8488578018,4.24264068712,407,47,3.0,-3.0
39,396,54,153.434948823,8.94427191,1.0,395,54,-1.0,0.0
40,389,57,156.801409486,7.61577310586,1.41421356237,388,58,-1.0,1.0
41,380,63,146.309932474,10.8166538264,3.60555127546,382,60,2.0,-3.0
42,371,64,173.659808254,9.05538513814,5.0,371,69,0.0,5.0
43,368,69,120.963756532,5.83095189485,7.21110255093,362,65,-6.0,-4.0
44,359,73,156.037511025,9.8488578018,6.0827625303,365,74,6.0,1.0
45,352,77,150.255118703,8.0622577483,2.0,350,77,-2.0,0.0
46,345,80,156.801409486,7.61577310586,1.0,345,81,0.0,1.0
47,339,82,161.565051177,6.32455532034,1.41421356237,338,83,-1.0,1.0
48,334,85,149.036243468,5.83095189485,1.41421356237,333,84,-1.0,-1.0
49,326,90,147.994616792,9.43398113206,3.60555127546,329,88,3.0,-2.0
50,323,98,110.55604522,8.54400374532,5.83095189485,318,95,-5.0,-3.0
51,318,101,149.036243468,5.83095189485,5.38516480713,320,106,2.0,5.0
52,310,104,159.44395478,8.54400374532,3.0,313,104,3.0,0.0
53,304,106,161.565051177,6.32455532034,2.2360679775,302,107,-2.0,1.0
54,292,102,-161.565051177,12.6491106407,8.48528137424,298,108,6.0,6.0
55,287,102,180.0,5.0,8.0622577483,280,98,-7.0,-4.0
56,280,106,150.255118703,8.0622577483,4.472135955,282,102,2.0,-4.0
57,270,107,174.289406863,10.0498756211,4.24264068712,273,110,3.0,3.0
58,264,107,180.0,6.0,4.12310562562,260,108,-4.0,1.0
59,262,113,108.434948823,6.32455532034,7.21110255093,258,107,-4.0,-6.0
60,253,113,180.0,9.0,9.21954445729,260,119,7.0,6.0
61,247,114,170.537677792,6.0827625303,3.16227766017,244,113,-3.0,-1.0
62,240,117,156.801409486,7.61577310586,2.2360679775,241,115,1.0,-2.0
63,229,116,-174.805571092,11.0453610172,5.65685424949,233,120,4.0,4.0
64,223,119,153.434948823,6.7082039325,6.40312423743,218,115,-5.0,-4.0
65,216,121,164.054604099,7.28010988928,1.41421356237,217,122,1.0,1.0
66,214,122,153.434948823,2.2360679775,5.09901951359,209,123,-5.0,1.0
67,200,127,160.346175942,14.8660687473,12.6491106407,212,123,12.0,-4.0
68,195,127,180.0,5.0,10.295630141,186,132,-9.0,5.0
69,187,130,159.44395478,8.54400374532,4.24264068712,190,127,3.0,-3.0
70,181,134,146.309932474,7.21110255093,2.2360679775,179,133,-2.0,-1.0
71,172,136,167.471192291,9.21954445729,3.60555127546,175,138,3.0,2.0
72,166,138,161.565051177,6.32455532034,3.0,163,138,-3.0,0.0
73,160,138,180.0,6.0,2.0,160,140,0.0,2.0
74,153,144,139.398705355,9.21954445729,6.0827625303,154,138,1.0,-6.0
75,144,149,150.945395901,10.295630141,2.2360679775,146,150,2.0,1.0
76,139,151,158.198590514,5.38516480713,5.0,135,154,-4.0,3.0
77,135,156,128.659808254,6.40312423743,3.16227766017,134,153,-1.0,-3.0
78,133,156,180.0,2.0,5.38516480713,131,161,-2.0,5.0
79,128,165,119.054604099,10.295630141,9.48683298051,131,156,3.0,-9.0
80,123,170,135.0,7.07106781187,4.0,123,174,0.0,4.0
81,120,178,110.55604522,8.54400374532,3.60555127546,118,175,-2.0,-3.0
82,116,183,128.659808254,6.40312423743,3.16227766017,117,186,1.0,3.0
83,112,192,113.962488975,9.8488578018,4.0,112,188,0.0,-4.0
84,112,197,90.0,5.0,5.65685424949,108,201,-4.0,4.0
85,111,204,98.1301023542,7.07106781187,2.2360679775,112,202,1.0,-2.0
86,107,214,111.801409486,10.7703296143,4.24264068712,110,211,3.0,-3.0
87,106,220,99.462322208,6.0827625303,5.0,103,224,-3.0,4.0
88,104,231,100.304846469,11.1803398875,5.09901951359,105,226,1.0,-5.0
89,104,239,90.0,8.0,3.60555127546,102,242,-2.0,3.0
90,105,250,84.8055710923,11.0453610172,3.16227766017,104,247,-1.0,-3.0
91,106,255,78.690067526,5.09901951359,6.0,106,261,0.0,6.0
92,108,263,75.9637565321,8.24621125124,3.16227766017,107,260,-1.0,-3.0
93,110,265,45.0,2.82842712475,6.0,110,271,0.0,6.0
94,114,275,68.1985905136,10.7703296143,8.24621125124,112,267,-2.0,-8.0
95,118,279,45.0,5.65685424949,6.0,118,285,0.0,6.0
96,124,284,39.8055710923,7.81024967591,2.2360679775,122,283,-2.0,-1.0
97,129,292,57.9946167919,9.43398113206,3.16227766017,130,289,1.0,-3.0
98,134,298,50.1944289077,7.81024967591,2.0,134,300,0.0,2.0
99,141,308,55.0079798014,12.2065556157,4.472135955,139,304,-2.0,-4.0
100,143,313,68.1985905136,5.38516480713,7.07106781187,148,318,5.0,5.0
101,146,307,-63.4349488229,6.7082039325,11.0453610172,145,318,-1.0,11.0
102,147,310,71.5650511771,3.16227766017,9.21954445729,149,301,2.0,-9.0
103,145,308,-135.0,2.82842712475,5.83095189485,148,313,3.0,5.0
104,143,310,135.0,2.82842712475,4.0,143,306,0.0,-4.0
105,142,310,180.0,1.0,2.2360679775,141,312,-1.0,2.0
106,132,319,138.012787504,13.4536240471,12.7279220614,141,310,9.0,-9.0
107,133,312,-81.8698976458,7.07106781187,19.4164878389,122,328,-11.0,16.0
108,126,310,-164.054604099,7.28010988928,9.43398113206,134,305,8.0,-5.0
109,121,303,-125.537677792,8.60232526704,5.38516480713,119,308,-2.0,5.0
110,116,302,-168.690067526,5.09901951359,6.0,116,296,0.0,-6.0
111,115,300,-116.565051177,2.2360679775,4.12310562562,111,301,-4.0,1.0
112,114,296,-104.036243468,4.12310562562,2.0,114,298,0.0,2.0
113,108,291,-140.194428908,7.81024967591,5.09901951359,113,292,5.0,1.0
114,108,284,-90.0,7.0,6.32455532034,102,286,-6.0,2.0
115,110,278,-71.5650511771,6.32455532034,2.2360679775,108,277,-2.0,-1.0
116,106,272,-123.690067526,7.21110255093,6.0,112,272,6.0,0.0
117,108,266,-71.5650511771,6.32455532034,6.0,102,266,-6.0,0.0
118,107,257,-96.3401917459,9.05538513814,4.24264068712,110,260,3.0,3.0
119,112,249,-57.9946167919,9.43398113206,6.0827625303,106,248,-6.0,-1.0
120,108,242,-119.744881297,8.0622577483,9.05538513814,117,241,9.0,-1.0
121,106,243,153.434948823,2.2360679775,8.24621125124,104,235,-2.0,-8.0
122,114,226,-64.7988763545,18.7882942281,20.591260282,104,244,-10.0,18.0
123,115,221,-78.690067526,5.09901951359,13.8924439894,122,209,7.0,-12.0
124,124,214,-37.8749836511,11.401754251,8.24621125124,116,216,-8.0,2.0
125,116,206,-135.0,11.313708499,17.0293863659,133,207,17.0,1.0
126,117,199,-81.8698976458,7.07106781187,9.05538513814,108,198,-9.0,-1.0
127,118,191,-82.8749836511,8.0622577483,1.0,118,192,0.0,1.0
128,120,187,-63.4349488229,4.472135955,4.12310562562,119,183,-1.0,-4.0
129,119,177,-95.7105931375,10.0498756211,6.7082039325,122,183,3.0,6.0
130,119,171,-90.0,6.0,4.12310562562,118,167,-1.0,-4.0
131,113,165,-135.0,8.48528137424,6.0,119,165,6.0,0.0
132,116,157,-69.4439547804,8.54400374532,9.21954445729,107,159,-9.0,2.0
133,113,148,-108.434948823,9.48683298051,6.0827625303,119,149,6.0,1.0
134,117,143,-51.3401917459,6.40312423743,8.0622577483,110,139,-7.0,-4.0
135,112,134,-119.054604099,10.295630141,9.8488578018,121,138,9.0,4.0
136,110,127,-105.945395901,7.28010988928,3.60555127546,107,125,-3.0,-2.0
137,112,121,-71.5650511771,6.32455532034,4.12310562562,108,120,-4.0,-1.0
138,109,111,-106.699244234,10.4403065089,6.40312423743,114,115,5.0,4.0
139,109,104,-90.0,7.0,4.24264068712,106,101,-3.0,-3.0
140,102,95,-127.874983651,11.401754251,7.28010988928,109,97,7.0,2.0
141,94,79,-116.565051177,17.88854382,7.07106781187,95,86,1.0,7.0
142,94,75,-90.0,4.0,14.4222051019,86,63,-8.0,-12.0
143,94,65,-90.0,10.0,6.0,94,71,0.0,6.0
144,92,70,111.801409486,5.38516480713,15.1327459504,94,55,2.0,-15.0
145,91,57,-94.398705355,13.0384048104,18.0277563773,90,75,-1.0,18.0
146,91,53,-90.0,4.0,9.05538513814,90,44,-1.0,-9.0
147,91,53,0.0,0.0,4.0,91,49,0.0,-4.0
148,95,55,26.5650511771,4.472135955,4.472135955,91,53,-4.0,-2.0
149,97,58,56.309932474,3.60555127546,2.2360679775,99,57,2.0,-1.0
150,99,58,0.0,2.0,3.0,99,61,0.0,3.0
151,103,53,-51.3401917459,6.40312423743,5.38516480713,101,58,-2.0,5.0
152,108,53,0.0,5.0,5.09901951359,107,48,-1.0,-5.0
153,109,48,-78.690067526,5.09901951359,6.40312423743,113,53,4.0,5.0
154,108,50,116.565051177,2.2360679775,7.28010988928,110,43,2.0,-7.0
155,114,53,26.5650511771,6.7082039325,7.07106781187,107,52,-7.0,-1.0
156,120,52,-9.46232220803,6.0827625303,4.0,120,56,0.0,4.0
157,132,57,22.619864948,13.0,8.48528137424,126,51,-6.0,-6.0
158,128,56,-165.963756532,4.12310562562,17.0880074906,144,62,16.0,6.0
