,x,y,angle,dist,drift
0,256,58,0.0,0.0,0.0
1,264,59,7.1250163489,8.0622577483,0.0
2,278,64,19.6538240581,14.8660687473,3.60555127546
3,282,60,-45.0,5.65685424949,27.7848879789
4,296,67,26.5650511771,15.6524758425,16.1554944214
5,306,59,-38.6598082541,12.8062484749,28.4253408071
6,306,62,90.0,3.0,27.5862284483
7,315,61,-6.34019174591,9.05538513814,11.401754251
8,321,64,26.5650511771,6.7082039325,13.0
9,327,58,-45.0,8.48528137424,13.416407865
10,338,61,15.2551187031,11.401754251,15.0332963784
11,350,60,-4.76364169073,12.0415945788,12.2065556157
12,354,60,0.0,4.0,20.0997512422
13,364,57,-16.699244234,10.4403065089,3.60555127546
14,370,57,0.0,6.0,15.2315462117
15,377,55,-15.9453959009,7.28010988928,5.38516480713
16,385,55,0.0,8.0,7.21110255093
17,394,52,-18.4349488229,9.48683298051,7.61577310586
18,402,47,-32.0053832081,9.43398113206,10.0498756211
19,406,46,-14.0362434679,4.12310562562,15.0
20,412,43,-26.5650511771,6.7082039325,2.2360679775
21,413,55,85.2363583093,12.0415945788,21.0950231097
22,418,56,11.309932474,5.09901951359,23.1948270095
23,428,58,11.309932474,10.1980390272,0.0
24,435,59,8.13010235416,7.07106781187,13.3416640641
25,445,61,11.309932474,10.1980390272,4.0
26,451,63,18.4349488229,6.32455532034,14.1421356237
27,453,66,56.309932474,3.60555127546,10.0498756211
28,460,63,-23.1985905136,7.61577310586,9.48683298051
29,469,66,18.4349488229,9.48683298051,10.295630141
30,476,69,23.1985905136,7.61577310586,11.401754251
31,480,71,26.5650511771,4.472135955,10.7703296143
32,483,74,45.0,4.24264068712,5.09901951359
33,488,77,30.9637565321,5.83095189485,3.16227766017
34,495,78,8.13010235416,7.07106781187,5.83095189485
35,504,80,12.5288077092,9.21954445729,5.0
36,510,82,18.4349488229,6.32455532034,12.1655250606
37,516,84,18.4349488229,6.32455532034,6.32455532034
38,517,86,63.4349488229,2.2360679775,11.1803398875
39,524,87,8.13010235416,7.07106781187,5.83095189485
40,528,88,14.0362434679,4.12310562562,10.0498756211
41,534,88,0.0,6.0,2.82842712475
42,534,91,90.0,3.0,12.3693168769
43,546,83,-33.690067526,14.4222051019,18.4390889146
44,544,82,-153.434948823,2.2360679775,30.0166620396
45,540,79,-143.130102354,5.0,1.0
46,538,80,153.434948823,2.2360679775,9.21954445729
47,539,74,-80.537677792,6.0827625303,9.43398113206
48,537,73,-153.434948823,2.2360679775,11.7046999107
49,531,67,-135.0,8.48528137424,4.472135955
50,528,66,-161.565051177,3.16227766017,14.2126704036
51,526,60,-108.434948823,6.32455532034,5.65685424949
52,524,52,-104.036243468,8.24621125124,4.472135955
53,519,44,-122.005383208,9.43398113206,8.0622577483
